gene_id,family_id,class_id,subtype_logFC,subtype_logCPM,subtype_F,subtype_PValue,subtype_qvalue
353,LTR50,ERVL,LTR,-0.511992637598447,7.66318374788618,64.8269826106395,1.55042346875005e-06,1.42206873896008e-05
355,LTR52-int,ERVL,LTR,0.505630773735091,3.42473500184002,13.0101060509751,0.00298560388370318,0.00595897286837614
386,LTR85b,Gypsy,LTR,-0.566803390975327,4.90741675564905,47.2590357694972,8.92360924505332e-06,5.12077884369983e-05
394,LTR88a,Gypsy,LTR,-0.70165429694567,5.06183109737465,41.098792576054,2.24696134025692e-05,0.0001005739895899
402,LTR9A1,ERV1,LTR,0.703666556656094,0.689203693861453,9.63533291859754,0.00800571168589761,0.0144957789264068
408,LTRIS4B,ERV1,LTR,-1.44662187178069,7.20172903403729,72.3896829969949,5.84718518610249e-06,3.80406989723761e-05
435,MamGyp-int,Gypsy,LTR,-0.610063474959762,5.19182152360117,19.1666448313694,0.000982789635659814,0.00221212565861839
442,MamGypLTR3,Gypsy,LTR,-0.576257674681015,5.28410678310252,57.1819459917658,3.14355295038595e-06,2.42595569067716e-05
446,MamRep1161,TcMar,DNA,-1.29544683245136,2.42622987542993,43.993305829784,1.30725595881489e-05,6.53044382997261e-05
454,MamRep488,hAT-Tip100,DNA,-0.921397694202529,3.59143360645004,77.1338898066448,5.68869326466857e-07,7.57815209900491e-06
461,MER101B,ERV1,LTR,-0.890198841407333,6.33534496808072,16.9586144840453,0.00204803247692048,0.00424761282539606
472,MER110-int,ERV1,LTR,0.95349634537885,2.40516953069214,48.8504146899571,7.46458880943426e-06,4.46677800949569e-05
474,MER113,hAT-Charlie,DNA,-0.526287376718031,7.85977150152208,28.8909835448156,0.000190011129230251,0.000556603281698039
476,MER113B,hAT-Charlie,DNA,0.575534658052111,2.99177788793629,23.779317564815,0.00026642341377366,0.000732500737132003
480,MER121,TcMar,DNA,-0.562234699748609,7.0299964050184,159.20888786115,6.89416384214669e-09,1.64483010028805e-06
490,MER133A,DNA,DNA?,-0.500040079357047,2.80648772313954,18.4903525861168,0.000782612152528769,0.00182446458058269
525,MER50,ERV1,LTR,-0.830535950896937,2.29725566647782,39.323179895854,2.34984906302138e-05,0.000104344488155592
533,MER57C2,ERV1,LTR,-0.76367370539952,8.17587832732261,26.2644412361104,0.000407730891824139,0.00103693379079821
534,MER57D,ERV1,LTR,-0.769952474997254,7.39874653277092,71.522068170845,2.32300591781636e-06,1.92551379410111e-05
554,MER66C,ERV1,LTR,-0.555021200710526,2.96642054316306,6.12922672556744,0.0291192865084664,0.0460013815892287
589,MER92C,ERV1,LTR,-0.532463427885258,4.36541897631105,41.1918153789549,1.84701522106122e-05,8.79493630794682e-05
632,MLT1E3-int,ERVL-MaLR,LTR,0.717480499978143,1.06937004661201,8.43092721833393,0.0118553243701782,0.0206637195797966
661,MLT1K,ERVL-MaLR,LTR,-0.772264246944327,10.890824232383,48.5972961821592,2.80322620761891e-05,0.00011881856539112
664,MLT1L-int,ERVL-MaLR,LTR,0.91642738546319,0.750242200625846,16.5948987456913,0.00120669212129308,0.00266855431566593
667,MLT1O,ERVL-MaLR,LTR,-0.773245937021214,8.45349984810341,43.2642754966091,4.31107976548312e-05,0.000161341078848683
691,MLTR31A_MM,ERVK,LTR,-0.655359528350984,7.6599529729843,55.4631075123827,7.75415087712071e-06,4.56678675342004e-05
692,MLTR31C_MM,ERVK,LTR,-1.09824539643982,8.49062997564658,44.6859393942763,4.8773979741468e-05,0.000177778773064178
694,MLTR31E_MM,ERVK,LTR,-0.900058525479984,7.622629876266,36.1560244178975,0.000115057289533729,0.000368901249155125
695,MLTR31FA_MM,ERVK,LTR,-0.802572834259244,8.68008794633565,57.8973991965246,9.57440118056707e-06,5.20085190342454e-05
696,MLTR31F_MM,ERVK,LTR,-0.95598776654307,8.69887851406894,43.5488118462607,5.29545022148263e-05,0.000189923358905098
700,MMERGLN-int,ERV1,LTR,0.603607154513422,9.60593043919918,72.6703735847603,1.27813064432688e-06,1.24863767190867e-05
717,MT2_Mm,ERVL,LTR,0.558320696829325,9.35650784447809,121.790640287454,3.65743695919774e-08,2.92333711238734e-06
719,MTA_Mm-int,ERVL-MaLR,LTR,0.628213307001553,10.464646602716,101.247308467463,1.3751129288488e-07,3.84687841845453e-06
